"date";"close";"return";"returnUS";"liquidity";"id";"close0"
2014-01-01;NA;NA;NA;NA;"PETR";0
2014-01-02;15,747225241;-1,932084309;-4,1777270917;5,2986536776;"PETR";15,747225241
2014-01-03;15,436981401;-1,9701492536;-1,0039311047;4,8896696975;"PETR";15,436981401
2014-01-06;15,625007971;1,2180267964;1,0137952069;4,5930624358;"PETR";15,625007971
2014-01-07;15,192546859;-2,7677496992;-2,1300667509;4,5845828748;"PETR";15,192546859
2014-01-08;15,220750845;0,18564356433;-0,42527019641;4,5402019132;"PETR";15,220750845
2014-01-09;14,760085748;-3,0265596047;-3,7591219049;4,5335561338;"PETR";14,760085748
2014-01-10;15,013921618;1,7197452229;2,3218899007;4,5512321817;"PETR";15,013921618
2014-01-13;14,825895048;-1,2523481528;0,12644499384;4,4025434106;"PETR";14,825895048
2014-01-14;14,760085748;-0,44388078632;-0,97502661429;4,3718971607;"PETR";14,760085748
2014-01-15;15,079730917;2,1656050956;2,8055004492;4,4347643083;"PETR";15,079730917
2014-01-16;14,656671135;-2,8054862844;-3,6796336229;4,4878160711;"PETR";14,656671135
2014-01-17;14,581460507;-0,51314945476;-0,16748945136;4,4464845147;"PETR";14,581460507
2014-01-20;14,271216666;-2,1276595746;-1,011994584;4,6648561421;"PETR";14,271216666
2014-01-21;14,421637922;1,0540184454;-0,11455775902;4,6231952609;"PETR";14,421637922
2014-01-22;14,891704347;3,259452412;3,2900789178;4,7512351183;"PETR";14,891704347
2014-01-23;14,543855193;-2,3358585858;-2,9935018932;4,7975361389;"PETR";14,543855193
2014-01-24;14,196006038;-2,3917259211;-3,8803845832;4,8142397694;"PETR";14,196006038
2014-01-27;14,205407367;0,066225165574;0,41997783301;4,7736311973;"PETR";14,205407367
2014-01-28;14,148999396;-0,39708802124;-0,89582389328;4,815414703;"PETR";14,148999396
2014-01-29;13,913966183;-1,6611295681;-2,5962698698;4,8185922944;"PETR";13,913966183
2014-01-30;13,819952898;-0,67567567567;0,033666633863;4,8764381277;"PETR";13,819952898
2014-01-31;13,819952898;0;-0,16073857314;5,0543577466;"PETR";13,819952898
2014-02-03;13,020839975;-5,7823129251;-5,1056977378;5,4621274032;"PETR";13,020839975
2014-02-04;13,246471859;1,7328519854;1,3667702498;5,5149559104;"PETR";13,246471859
2014-02-05;13,002037318;-1,8452803407;-1,556182809;5,5928893729;"PETR";13,002037318
2014-02-06;13,359287801;2,7476500361;3,0254503461;5,6890710906;"PETR";13,359287801
2014-02-07;13,584919686;1,6889514425;2,6453407914;5,7836345514;"PETR";13,584919686
2014-02-10;13,735340942;1,107266436;0,6046024695;6,0374908246;"PETR";13,735340942
2014-02-11;14,064387439;2,3956194387;1,8001971624;5,9876915207;"PETR";14,064387439
2014-02-12;14,064387439;0;-0,041517894169;5,8825872333;"PETR";14,064387439
2014-02-13;13,735340942;-2,3395721925;-2,9520148458;5,9404239113;"PETR";13,735340942
2014-02-14;13,707136956;-0,20533880906;1,1044556908;6,0012198517;"PETR";13,707136956
2014-02-17;13,566117029;-1,0288065844;-0,80490861847;5,9308225464;"PETR";13,566117029
2014-02-18;13,265274516;-2,2176022175;-2,6783206828;5,8647054403;"PETR";13,265274516
2014-02-19;13,349886473;0,63784549948;0,62525842641;5,8044271979;"PETR";13,349886473
2014-02-20;13,312281159;-0,28169014086;0,50184378688;5,7278327903;"PETR";13,312281159
2014-02-21;13,30287983;-0,070621468876;0,66536633494;5,7319992596;"PETR";13,30287983
2014-02-24;13,631926328;2,4734982333;3,4986274959;5,7357840513;"PETR";13,631926328
2014-02-25;13,331083816;-2,2068965519;-2,1064542836;5,7901295584;"PETR";13,331083816
2014-02-26;12,861017391;-3,5260930888;-3,8839522984;5,9404281574;"PETR";12,861017391
2014-02-27;13,199465217;2,6315789473;2,7104050449;5,9267129669;"PETR";13,199465217
2014-02-28;12,776405434;-3,2051282052;-2,7820084261;5,7571864318;"PETR";12,776405434
2014-03-03;NA;NA;NA;NA;"PETR";0
2014-03-04;NA;NA;NA;NA;"PETR";0
2014-03-05;12,494365579;-2,2075055187;-1,8119592846;5,3564660933;"PETR";12,494365579
2014-03-06;12,625984178;1,0534236268;1,6922821982;5,2683676299;"PETR";12,625984178
2014-03-07;12,522569565;-0,81906180176;-2,0406899859;5,2132775592;"PETR";12,522569565
2014-03-10;12,231128381;-2,3273273275;-2,4441506866;5,2439267751;"PETR";12,231128381
2014-03-11;12,325141666;0,76863950817;0,54958658566;5,3273404337;"PETR";12,325141666
2014-03-12;12,522569565;1,6018306636;0,79413713902;5,5205424934;"PETR";12,522569565
2014-03-13;12,325141666;-1,5765765766;-0,89348801257;5,4310291614;"PETR";12,325141666
2014-03-14;12,014897826;-2,5171624714;-3,1440087065;5,5069242346;"PETR";12,014897826
2014-03-17;11,817469927;-1,6431924882;-1,1413293662;5,6017023438;"PETR";11,817469927
2014-03-18;12,193523067;3,1821797931;3,1646332953;5,7554403393;"PETR";12,193523067
2014-03-19;12,541372222;2,8527370856;3,6636422028;5,9965683366;"PETR";12,541372222
2014-03-20;13,152458574;4,8725637182;4,505375408;6,2398087398;"PETR";13,152458574
2014-03-21;13,18066256;0,2144388849;0,96890336354;6,4104366754;"PETR";13,18066256
2014-03-24;13,537913043;2,7104136947;2,6971595978;6,5188727736;"PETR";13,537913043
2014-03-25;13,613123671;0,55555555555;1,0947740684;6,5855155892;"PETR";13,613123671
2014-03-26;13,537913043;-0,55248618792;-0,53097844248;6,3774639596;"PETR";13,537913043
2014-03-27;14,637868478;8,1250000001;9,4937308368;6,6752015105;"PETR";14,637868478
2014-03-28;14,722480434;0,57803468208;1,5881313007;6,9425578737;"PETR";14,722480434
2014-03-31;14,835296376;0,7662835249;0,64605861753;6,8591749038;"PETR";14,835296376
2014-04-01;14,863500362;0,19011406839;0,23440678015;6,8791567494;"PETR";14,863500362
2014-04-02;15,5686;4,743833017;4,324138208;7,0377872289;"PETR";15,5686
2014-04-03;15,4;-1,0829490127;-1,5165865164;7,1846656138;"PETR";15,4
2014-04-04;15,44;0,25974025975;2,008248665;7,1240773531;"PETR";15,44
2014-04-07;16,46;6,6062176165;7,055065796;7,4783647336;"PETR";16,46
2014-04-08;15,99;-2,8554070473;-1,2992544708;7,5479760607;"PETR";15,99
2014-04-09;15,85;-0,87554721704;-1,4897234202;7,5169988607;"PETR";15,85
2014-04-10;15,68;-1,0725552052;-0,51463447226;7,4624895167;"PETR";15,68
2014-04-11;16,19;3,2525510205;2,9155373901;7,5354962221;"PETR";16,19
2014-04-14;15,93;-1,6059295862;-1,7706915614;7,7063872966;"PETR";15,93
2014-04-15;15,32;-3,8292529817;-4,5249213229;7,6407927282;"PETR";15,32
2014-04-16;15,78;3,002610966;2,6107381735;7,445557291;"PETR";15,78
2014-04-17;16,38;3,8022813689;3,1558833885;7,5143635886;"PETR";16,38
2014-04-18;NA;NA;NA;NA;"PETR";0
2014-04-21;NA;NA;NA;NA;"PETR";0
2014-04-22;15,96;-2,5641025641;-2,4208719251;7,5297003361;"PETR";15,96
2014-04-23;16,03;0,43859649122;0,54160584295;7,4382995805;"PETR";16,03
2014-04-24;16,13;0,62383031818;1,5155885878;7,4192173877;"PETR";16,13
2014-04-25;16,03;-0,61996280228;-1,047308091;7,3531560477;"PETR";16,03
2014-04-28;16,56;3,3063006862;3,0984873856;7,2908042455;"PETR";16,56
2014-04-29;16,69;0,78502415454;1,5613762034;7,2913870838;"PETR";16,69
2014-04-30;16,57;-0,71899340919;-1,4338521775;7,2505391106;"PETR";16,57
2014-05-01;NA;NA;NA;NA;"PETR";0
2014-05-02;17,6;6,2160531081;6,8804710632;7,1297321816;"PETR";17,6
2014-05-05;17,57;-0,17045454542;-0,46162032013;7,0619007158;"PETR";17,57
2014-05-06;18,24;3,8133181559;3,6458923225;7,1171197341;"PETR";18,24
2014-05-07;18,58;1,8640350878;2,0468984481;7,1014828795;"PETR";18,58
2014-05-08;17,88;-3,7674919267;-3,0057110918;7,1957101478;"PETR";17,88
2014-05-09;17,67;-1,1744966442;-1,5530189851;7,2839770722;"PETR";17,67
2014-05-12;18,03;2,037351443;2,1662562363;7,281614065;"PETR";18,03
2014-05-13;17,96;-0,3882418192;-0,10429354697;7,2381021162;"PETR";17,96
2014-05-14;18,29;1,8374164812;1,7085607868;7,1310401668;"PETR";18,29
2014-05-15;18,03;-1,4215418262;-1,5860912691;7,1030937341;"PETR";18,03
2014-05-16;18,05;0,11092623408;0,36448624614;7,2658357248;"PETR";18,05
2014-05-19;17,94;-0,60941828251;-0,61391335657;7,1577750589;"PETR";17,94
2014-05-20;17,3;-3,5674470458;-3,7633066269;7,2619538505;"PETR";17,3
2014-05-21;17,46;0,92485549139;1,1302563549;7,3382406032;"PETR";17,46
2014-05-22;17,65;1,0882016037;0,99684721245;7,2496606716;"PETR";17,65
2014-05-23;17,7;0,28328611916;0,030171050639;7,2760184511;"PETR";17,7
2014-05-26;17,86;0,9039548022;0,80400041406;7,3012894776;"PETR";17,86
2014-05-27;17,49;-2,071668533;-2,7068840677;7,2655993731;"PETR";17,49
2014-05-28;17,7;1,2006861065;0,97032524991;7,1859304759;"PETR";17,7
2014-05-29;17,3;-2,2598870058;-1,5834240423;7,13722082;"PETR";17,3
2014-05-30;16,69;-3,5260115606;-4,1249344902;7,0982229999;"PETR";16,69
2014-06-02;16,6;-0,53924505692;-1,6375307783;7,0229338562;"PETR";16,6
2014-06-03;16,9;1,8072289156;1,744312821;6,9424921087;"PETR";16,9
2014-06-04;16,6;-1,7751479289;-2,4126919209;6,8991144125;"PETR";16,6
2014-06-05;16,32;-1,686746988;-1,2232299986;6,810190102;"PETR";16,32
2014-06-06;17,68;8,3333333332;9,5399866337;6,8487102241;"PETR";17,68
2014-06-09;18,07;2,205882353;2,7046485233;6,5634163256;"PETR";18,07
2014-06-10;18,34;1,4941892639;1,6762742824;6,5673481938;"PETR";18,34
2014-06-11;18,88;2,9443838604;2,8936200544;6,7333599969;"PETR";18,88
2014-06-12;NA;NA;NA;NA;"PETR";0
2014-06-13;18,99;0,58262711864;0,40258930203;6,781616066;"PETR";18,99
2014-06-16;18,74;-1,3164823591;-1,1661108448;7,0455031128;"PETR";18,74
2014-06-17;18,32;-2,241195304;-2,9933198799;7,0585490225;"PETR";18,32
2014-06-18;19;3,711790393;3,490872405;6,9853911618;"PETR";19
2014-06-19;NA;NA;NA;NA;"PETR";0
2014-06-20;18,7;-1,5789473684;-0,90169794457;6,8343399721;"PETR";18,7
2014-06-23;18,3;-2,1390374332;-1,3233456973;6,7112224615;"PETR";18,3
2014-06-24;17,64;-3,606557377;-3,7020093163;6,934045523;"PETR";17,64
2014-06-25;17,29;-1,9841269842;-1,2507413935;7,0842551905;"PETR";17,29
2014-06-26;17,32;0,17351069982;0,0057158744312;7,0756098663;"PETR";17,32
2014-06-27;17,2;-0,69284064666;-0,17766357405;7,0089260784;"PETR";17,2
2014-06-30;17,29;0,52325581401;0,29505318998;7,3049676273;"PETR";17,29
2014-07-01;17,19;-0,57836899941;-0,70910389104;7,3023563072;"PETR";17,19
2014-07-02;17,12;-0,40721349624;-0,76717658112;7,3395669768;"PETR";17,12
2014-07-03;17,5;2,2196261683;1,5452271266;7,421680967;"PETR";17,5
2014-07-04;17,5;0;0,59596370047;7,4915714074;"PETR";17,5
2014-07-07;17,28;-1,2571428571;-1,4884220144;7,4604635302;"PETR";17,28
2014-07-08;17,33;0,28935185182;0,52026638659;7,4013728679;"PETR";17,33
2014-07-09;NA;NA;NA;NA;"PETR";0
2014-07-10;18,11;4,500865551;4,0920165471;7,2291724465;"PETR";18,11
2014-07-11;18,28;0,93870789624;0,97957744674;7,0038892688;"PETR";18,28
2014-07-14;19,1;4,4857768053;4,7307831361;7,3446454302;"PETR";19,1
2014-07-15;19,26;0,83769633511;0,75137436052;7,5199571037;"PETR";19,26
2014-07-16;19,31;0,2596053997;0,26864064548;7,4668581715;"PETR";19,31
2014-07-17;19,56;1,2946659761;0,3451556493;7,7165683867;"PETR";19,56
2014-07-18;20,52;4,9079754601;5,1003208226;8,2871605171;"PETR";20,52
2014-07-21;20,9;1,8518518518;2,4197819548;8,5176536337;"PETR";20,9
2014-07-22;21,05;0,71770334926;1,21380483;8,8156629328;"PETR";21,05
2014-07-23;20,26;-3,7529691211;-4,0694285955;8,9845786164;"PETR";20,26
2014-07-24;20,31;0,24679170765;0,23776209237;8,8400198054;"PETR";20,31
2014-07-25;20,49;0,88626292472;0,4834962534;8,770037066;"PETR";20,49
2014-07-28;20,15;-1,6593460225;-1,6990315165;9,0691502013;"PETR";20,15
2014-07-29;19,62;-2,6302729529;-2,5253769367;9,2181129036;"PETR";19,62
2014-07-30;19,85;1,1722731906;0,41056275422;9,310120431;"PETR";19,85
2014-07-31;19,1;-3,7783375315;-4,7416575184;9,2250687621;"PETR";19,1
2014-08-01;19,01;-0,47120418849;-0,17623230706;9,2121942814;"PETR";19,01
2014-08-04;19,45;2,3145712783;2,4505254412;9,3583846842;"PETR";19,45
2014-08-05;19,7;1,2853470436;0,48863069969;9,4386431141;"PETR";19,7
2014-08-06;20,31;3,0964467005;2,9426389257;9,672017433;"PETR";20,31
2014-08-07;20,15;-0,78778926636;-0,84000163943;9,8858031491;"PETR";20,15
2014-08-08;19,31;-4,1687344913;-4,9358515562;10,015186791;"PETR";19,31
2014-08-11;20,14;4,2982910411;5,2460827021;10,331708024;"PETR";20,14
2014-08-12;19,67;-2,3336643496;-2,2950610548;10,301611554;"PETR";19,67
2014-08-13;18,69;-4,9822064058;-4,6555984425;9,9792828929;"PETR";18,69
2014-08-14;18,6;-0,48154093092;-0,52975936251;9,9080768431;"PETR";18,6
2014-08-15;20,06;7,8494623656;7,9112535956;10,062266106;"PETR";20,06
2014-08-18;20,4;1,6949152543;2,1224884762;10,144841139;"PETR";20,4
2014-08-19;20,91;2,5;2,536304069;10,160174875;"PETR";20,91
2014-08-20;21,36;2,1520803442;2,3196912964;10,231540052;"PETR";21,36
2014-08-21;21,3;-0,28089887637;-0,4222066098;10,184140957;"PETR";21,3
2014-08-22;20,92;-1,7840375585;-2,6291656926;10,05120947;"PETR";20,92
2014-08-25;22,04;5,3537284895;5,2151537853;10,198040043;"PETR";22,04
2014-08-26;21,84;-0,90744101635;-0,64607502654;10,217204301;"PETR";21,84
2014-08-27;22,84;4,5787545787;5,3055424354;10,33356535;"PETR";22,84
2014-08-28;22,8;-0,17513134853;0,23305958966;10,406308412;"PETR";22,8
2014-08-29;23,35;2,4122807019;2,8832784206;10,26679718;"PETR";23,35
2014-09-01;23,83;2,0556745181;2,2017030275;10,616065117;"PETR";23,83
2014-09-02;24,56;3,0633655057;2,344882828;10,713353796;"PETR";24,56
2014-09-03;23,95;-2,483713355;-1,6011339427;10,767615983;"PETR";23,95
2014-09-04;22,79;-4,8434237996;-5,0009114236;11,058655394;"PETR";22,79
2014-09-05;22,82;0,13163668282;-0,13638161672;11,062862805;"PETR";22,82
2014-09-08;21,7;-4,9079754601;-5,2250757154;10,94310283;"PETR";21,7
2014-09-09;21,48;-1,0138248848;-2,4109909035;10,981849519;"PETR";21,48
2014-09-10;20,95;-2,4674115456;-3,1213941564;11,00859962;"PETR";20,95
2014-09-11;21,21;1,2410501193;1,6260139024;11,109213377;"PETR";21,21
2014-09-12;20,14;-5,0447901932;-6,5599242879;11,213586994;"PETR";20,14
2014-09-15;20,55;2,0357497517;1,3817023833;11,579927548;"PETR";20,55
2014-09-16;21,55;4,8661800487;5,0907232804;11,707541208;"PETR";21,55
2014-09-17;22,12;2,6450116009;2,5001567692;11,64264114;"PETR";22,12
2014-09-18;21,29;-3,7522603978;-4,9071682078;11,44896386;"PETR";21,29
2014-09-19;20,91;-1,7848755285;-1,7350538555;11,304584243;"PETR";20,91
2014-09-22;20,59;-1,5303682449;-2,4131709762;11,467695749;"PETR";20,59
2014-09-23;20,13;-2,2340942204;-2,8688849182;11,462400786;"PETR";20,13
2014-09-24;20,23;0,49677098868;0,31306272431;11,366764952;"PETR";20,23
2014-09-25;19,84;-1,9278299555;-1,9889087413;11,225408834;"PETR";19,84
2014-09-26;20,94;5,5443548388;4,5674942943;11,235762741;"PETR";20,94
2014-09-29;18,6;-11,1747851;-11,942705561;11,403413813;"PETR";18,6
2014-09-30;18,09;-2,7419354839;-2,6943183165;11,080354839;"PETR";18,09
2014-10-01;17,09;-5,5279159757;-5,9614677562;10,708959444;"PETR";17,09
2014-10-02;17,3;1,2287887654;0,56713600025;10,625067919;"PETR";17,3
2014-10-03;18,35;6,0693641619;5,4439752428;10,664306064;"PETR";18,35
2014-10-06;20,39;11,117166212;14,962784795;10,572780045;"PETR";20,39
2014-10-07;21,21;4,0215792054;4,2812220523;10,705841557;"PETR";21,21
2014-10-08;20,85;-1,6973125883;-1,8361581921;10,496506114;"PETR";20,85
2014-10-09;21,2;1,6786570744;2,3504488205;10,570054408;"PETR";21,2
2014-10-10;20,02;-5,5660377359;-6,3065272546;10,639776509;"PETR";20,02
2014-10-13;22,13;10,539460539;11,37117491;10,635260697;"PETR";22,13
2014-10-14;21,65;-2,1690013557;-2,4462931695;10,806265536;"PETR";21,65
2014-10-15;20,15;-6,9284064665;-8,1723720818;10,837275684;"PETR";20,15
2014-10-16;18,65;-7,4441687345;-9,1405897032;10,846242371;"PETR";18,65
2014-10-17;19,09;2,3592493299;3,5845326591;10,92830579;"PETR";19,09
2014-10-20;17,92;-6,1288632791;-6,4232380256;11,223495498;"PETR";17,92
2014-10-21;16,68;-6,9196428572;-7,8317905682;11,317829033;"PETR";16,68
2014-10-22;16,61;-0,41966426861;-0,35536963287;11,204443282;"PETR";16,61
2014-10-23;15,41;-7,2245635159;-8,0519880214;11,26754529;"PETR";15,41
2014-10-24;16,3;5,7754704736;6,6240622342;11,395022141;"PETR";16,3
2014-10-27;14,29;-12,331288343;-14,185612539;11,731693317;"PETR";14,29
2014-10-28;15,03;5,178446466;7,1746757769;11,711467586;"PETR";15,03
2014-10-29;14,02;-6,7198935462;-4,7160532573;11,701540618;"PETR";14,02
2014-10-30;14,32;2,1398002853;3,1011060884;11,919515321;"PETR";14,32
2014-10-31;15,28;6,7039106145;5,2938229323;11,740770509;"PETR";15,28
2014-11-03;14,85;-2,8141361257;-4,3674509916;11,944787566;"PETR";14,85
2014-11-04;14,82;-0,20202020205;-1,6121444652;11,800478816;"PETR";14,82
2014-11-05;14,4;-2,8340080972;-2,7297693106;11,707060822;"PETR";14,4
2014-11-06;14,06;-2,3611111111;-2,9664143907;11,62748322;"PETR";14,06
2014-11-07;14,27;1,493598862;-0,068994549838;11,642969458;"PETR";14,27
2014-11-10;13,98;-2,032235459;-0,75506609855;11,545743409;"PETR";13,98
2014-11-11;14;0,14306151643;-0,84884059033;11,398201594;"PETR";14
2014-11-12;14,11;0,78571428567;1,1565110428;11,266967581;"PETR";14,11
2014-11-13;13,6;-3,6144578313;-4,2701417915;11,062274979;"PETR";13,6
2014-11-14;13,2;-2,9411764706;-4,4674688059;10,838829162;"PETR";13,2
2014-11-17;12,6;-4,5454545454;-4,1751488381;10,50115504;"PETR";12,6
2014-11-18;12,45;-1,1904761905;-0,93172286424;10,470524852;"PETR";12,45
2014-11-19;12,78;2,6506024096;3,1191996892;10,289732263;"PETR";12,78
2014-11-20;NA;NA;NA;NA;"PETR";0
2014-11-21;14,3;11,893583724;13,911907593;9,7455958872;"PETR";14,3
2014-11-24;14,21;-0,6293706293;-0,20094730044;9,4414498583;"PETR";14,21
2014-11-25;14,15;-0,42223786077;-0,2446811267;9,5407662221;"PETR";14,15
2014-11-26;14,1;-0,35335689035;0,1785576289;9,4412444537;"PETR";14,1
2014-11-27;13,44;-4,6808510639;-4,5363416818;9,0546458746;"PETR";13,44
2014-11-28;12,8;-4,7619047619;-6,7558744915;8,8955000832;"PETR";12,8
2014-12-01;12,32;-3,7499999999;-3,8363936153;8,5740428956;"PETR";12,32
2014-12-02;12,13;-1,5422077922;-1,6956644509;8,4790416359;"PETR";12,13
2014-12-03;12,73;4,9464138499;5,1800197229;8,5079020525;"PETR";12,73
2014-12-04;12,23;-3,9277297722;-4,6353210169;8,4904251753;"PETR";12,23
2014-12-05;12,26;0,2452984465;-0,10707802775;8,4560105275;"PETR";12,26
2014-12-08;11,5;-6,1990212072;-6,3256668212;8,0962984027;"PETR";11,5
2014-12-09;11,36;-1,2173913044;-1,5705117922;8,1886206662;"PETR";11,36
2014-12-10;10,83;-4,6654929577;-4,3529931273;8,2464582848;"PETR";10,83
2014-12-11;10,82;-0,092336103353;-1,3853438201;8,4132195249;"PETR";10,82
2014-12-12;10,11;-6,561922366;-7,5716643752;8,3517885568;"PETR";10,11
2014-12-15;9,18;-9,1988130564;-9,7391951624;8,4451548266;"PETR";9,18
2014-12-16;9,38;2,1786492376;-0,37926607756;8,4081304389;"PETR";9,38
2014-12-17;9,66;2,9850746268;3,5785069369;7,8058946236;"PETR";9,66
2014-12-18;9,46;-2,0703933747;0,022119587447;7,8751453831;"PETR";9,46
2014-12-19;9,83;3,9112050739;4,6566226139;7,9844122296;"PETR";9,83
2014-12-22;10,32;4,98474059;4,8224766944;8,2158777432;"PETR";10,32
2014-12-23;10,97;6,2984496124;5,3138738696;8,2304810149;"PETR";10,97
2014-12-24;NA;NA;NA;NA;"PETR";0
2014-12-25;NA;NA;NA;NA;"PETR";0
2014-12-26;10,3;-6,1075660893;-6,237135687;7,9083706583;"PETR";10,3
2014-12-29;10,28;-0,19417475733;-0,086107366315;7,657548835;"PETR";10,28
2014-12-30;10,02;-2,5291828793;-1,7182104156;7,5867250082;"PETR";10,02
2014-12-31;NA;NA;NA;NA;"PETR";0
